seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
980521463,config.txt,base_truth,999,820,21.7634,18.6976,0.615505
980521463,config.txt,base_strat,999,818,21.566,18.4914,0.614746
980521463,config.txt,da_truth,999,800,8.925,5.85375,0.512779
980521463,config.txt,da_strat,999,799,8.57322,5.49812,0.517552
980521464,config.txt,base_truth,999,738,26.752,23.6423,0.625228
980521464,config.txt,base_strat,999,741,26.8772,23.7652,0.625076
980521464,config.txt,da_truth,999,740,9.37568,6.24595,0.499747
980521464,config.txt,da_strat,999,745,9.41745,6.3047,0.498024
980521465,config.txt,base_truth,999,805,22.7168,19.7081,0.610211
980521465,config.txt,base_strat,999,805,22.5031,19.4919,0.610681
980521465,config.txt,da_truth,999,785,8.7172,5.67771,0.49279
980521465,config.txt,da_strat,999,787,9.0737,6.02795,0.500164
980521466,config.txt,base_truth,999,807,22.7249,19.6914,0.614508
980521466,config.txt,base_strat,999,803,23.254,20.2217,0.615944
980521466,config.txt,da_truth,999,783,8.59642,5.57216,0.497127
980521466,config.txt,da_strat,999,783,8.81865,5.78927,0.496499
980521467,config.txt,base_truth,999,758,24.5396,21.5739,0.614066
980521467,config.txt,base_strat,999,758,24.5475,21.5897,0.614214
980521467,config.txt,da_truth,999,746,8.32976,5.41421,0.476409
980521467,config.txt,da_strat,999,751,8.45939,5.54993,0.478773
980521468,config.txt,base_truth,999,722,30.2202,27.2839,0.616377
980521468,config.txt,base_strat,999,733,29.6139,26.6726,0.615839
980521468,config.txt,da_truth,999,737,8.96744,6.00678,0.493499
980521468,config.txt,da_strat,999,736,8.83696,5.87908,0.492263
980521469,config.txt,base_truth,999,759,27.4466,24.4493,0.614706
980521469,config.txt,base_strat,999,762,27.0997,24.101,0.614263
980521469,config.txt,da_truth,999,747,8.56225,5.53681,0.483747
980521469,config.txt,da_strat,999,747,8.76573,5.71218,0.487884
980521470,config.txt,base_truth,999,870,17.3517,14.3874,0.609843
980521470,config.txt,base_strat,999,870,17.4207,14.4563,0.609843
980521470,config.txt,da_truth,999,822,7.27129,4.31144,0.488674
980521470,config.txt,da_strat,999,824,7.57282,4.60922,0.489061
980521471,config.txt,base_truth,999,791,24.3603,21.3451,0.619007
980521471,config.txt,base_strat,999,792,24.2626,21.2437,0.61896
980521471,config.txt,da_truth,999,782,9.38107,6.3913,0.490733
980521471,config.txt,da_strat,999,782,9.58951,6.6023,0.490449
980521472,config.txt,base_truth,999,913,15.4392,12.4622,0.613393
980521472,config.txt,base_strat,999,913,15.1807,12.2037,0.614052
980521472,config.txt,da_truth,999,854,8.04215,5.05855,0.504165
980521472,config.txt,da_strat,999,856,8.17523,5.19042,0.505278
980521473,config.txt,base_truth,999,858,19.5886,16.6002,0.605632
980521473,config.txt,base_strat,999,860,19.6686,16.686,0.604088
980521473,config.txt,da_truth,999,828,8.94565,5.97705,0.497831
980521473,config.txt,da_strat,999,826,9.04722,6.0799,0.49708
980521474,config.txt,base_truth,999,853,17.4795,14.5205,0.608457
980521474,config.txt,base_strat,999,856,17.1998,14.2383,0.607743
980521474,config.txt,da_truth,999,815,7.02209,4.05031,0.498773
980521474,config.txt,da_strat,999,814,7.47297,4.49877,0.500379
980521475,config.txt,base_truth,999,787,26.324,23.3787,0.608993
980521475,config.txt,base_strat,999,782,26.3836,23.4361,0.609043
980521475,config.txt,da_truth,999,785,8.88025,5.93503,0.497094
980521475,config.txt,da_strat,999,781,8.68246,5.73111,0.496503
980521476,config.txt,base_truth,999,767,23.1213,20.0613,0.621115
980521476,config.txt,base_strat,999,768,23.1484,20.0938,0.620639
980521476,config.txt,da_truth,999,777,8.41313,5.36937,0.508354
980521476,config.txt,da_strat,999,776,8.2616,5.22809,0.50764
980521477,config.txt,base_truth,999,789,21.6717,18.6096,0.627636
980521477,config.txt,base_strat,999,785,21.5427,18.479,0.627017
980521477,config.txt,da_truth,999,773,8.65847,5.59767,0.508449
980521477,config.txt,da_strat,999,771,8.54086,5.48379,0.50664
980521478,config.txt,base_truth,999,800,24.3875,21.5275,0.593166
980521478,config.txt,base_strat,999,799,24.2253,21.3692,0.592659
980521478,config.txt,da_truth,999,782,8.23529,5.34783,0.482684
980521478,config.txt,da_strat,999,781,8.41741,5.53649,0.483283
980521479,config.txt,base_truth,999,724,27.0773,24.0442,0.623522
980521479,config.txt,base_strat,999,724,27.0773,24.0442,0.623522
980521479,config.txt,da_truth,999,739,8.6793,5.69147,0.500443
980521479,config.txt,da_strat,999,741,8.2996,5.30364,0.506353
980521480,config.txt,base_truth,999,735,27.9497,25.0163,0.617638
980521480,config.txt,base_strat,999,734,27.8147,24.876,0.618255
980521480,config.txt,da_truth,999,733,10.0477,7.12415,0.483246
980521480,config.txt,da_strat,999,736,10.2283,7.29755,0.487923
980521481,config.txt,base_truth,999,743,27.0646,24.0781,0.613974
980521481,config.txt,base_strat,999,739,27.1827,24.203,0.613449
980521481,config.txt,da_truth,999,751,8.07856,5.08123,0.491621
980521481,config.txt,da_strat,999,752,8.13032,5.13963,0.491095
980521482,config.txt,base_truth,999,823,20.7205,17.7582,0.616317
980521482,config.txt,base_strat,999,823,20.7205,17.7582,0.616317
980521482,config.txt,da_truth,999,793,8.12232,5.15259,0.493683
980521482,config.txt,da_strat,999,794,7.95214,4.98866,0.496031
980521483,config.txt,base_truth,999,812,21.1995,18.298,0.607549
980521483,config.txt,base_strat,999,812,21.1502,18.2488,0.607549
980521483,config.txt,da_truth,999,787,8.9568,6.01017,0.497882
980521483,config.txt,da_strat,999,786,8.85878,5.91221,0.497168
980521484,config.txt,base_truth,999,800,24.9825,22.0787,0.600949
980521484,config.txt,base_strat,999,802,24.697,21.7843,0.600488
980521484,config.txt,da_truth,999,785,8.95924,5.96178,0.495855
980521484,config.txt,da_strat,999,786,8.86641,5.87405,0.497007
980521485,config.txt,base_truth,999,794,22.8841,19.8892,0.614752
980521485,config.txt,base_strat,999,797,23.1455,20.1481,0.617825
980521485,config.txt,da_truth,999,793,9.40858,6.40731,0.508369
980521485,config.txt,da_strat,999,789,9.35995,6.35741,0.505579
980521486,config.txt,base_truth,999,842,22.8195,19.8349,0.625558
980521486,config.txt,base_strat,999,848,22.704,19.7146,0.625252
980521486,config.txt,da_truth,999,811,9.33046,6.32182,0.50915
980521486,config.txt,da_strat,999,806,8.97519,5.98015,0.50521
980521487,config.txt,base_truth,999,689,30.5704,27.4993,0.609203
980521487,config.txt,base_strat,999,687,30.5779,27.5022,0.608868
980521487,config.txt,da_truth,999,726,9.12672,6.13636,0.486234
980521487,config.txt,da_strat,999,727,8.77854,5.78817,0.491428
980521488,config.txt,base_truth,999,806,23.67,20.66,0.626199
980521488,config.txt,base_strat,999,798,24.0175,21.0075,0.623233
980521488,config.txt,da_truth,999,786,9.24173,6.23537,0.503407
980521488,config.txt,da_strat,999,784,9.28189,6.26531,0.503407
980521489,config.txt,base_truth,999,808,23.0879,20.1015,0.620613
980521489,config.txt,base_strat,999,816,22.7635,19.7696,0.619795
980521489,config.txt,da_truth,999,780,9.69103,6.65,0.503773
980521489,config.txt,da_strat,999,781,9.67222,6.63892,0.50441
980521490,config.txt,base_truth,999,834,21.1331,18.1067,0.615521
980521490,config.txt,base_strat,999,834,21.1331,18.1067,0.615521
980521490,config.txt,da_truth,999,804,8.68657,5.6791,0.493272
980521490,config.txt,da_strat,999,802,8.50748,5.50623,0.49068
980521491,config.txt,base_truth,999,732,24.3005,21.3825,0.608156
980521491,config.txt,base_strat,999,737,23.9674,21.0529,0.607061
980521491,config.txt,da_truth,999,738,7.85637,4.89702,0.492073
980521491,config.txt,da_strat,999,737,7.53867,4.5943,0.491552
980521492,config.txt,base_truth,999,786,23.6667,20.631,0.626636
980521492,config.txt,base_strat,999,783,23.6309,20.5951,0.626303
980521492,config.txt,da_truth,999,780,8.70385,5.64872,0.495169
980521492,config.txt,da_strat,999,777,8.30631,5.25354,0.494693
980521493,config.txt,base_truth,999,787,26.554,23.6061,0.609532
980521493,config.txt,base_strat,999,786,26.472,23.5267,0.609632
980521493,config.txt,da_truth,999,763,8.26606,5.29096,0.490949
980521493,config.txt,da_strat,999,765,8.26405,5.28497,0.489709
980521494,config.txt,base_truth,999,844,19.4822,16.4384,0.619736
980521494,config.txt,base_strat,999,848,19.5035,16.4634,0.618685
980521494,config.txt,da_truth,999,816,8.10784,5.04902,0.501707
980521494,config.txt,da_strat,999,821,7.89769,4.83435,0.506698
980521495,config.txt,base_truth,999,740,25.35,22.3527,0.613176
980521495,config.txt,base_strat,999,742,25.372,22.3747,0.613575
980521495,config.txt,da_truth,999,726,8.04683,5.03306,0.482769
980521495,config.txt,da_strat,999,726,7.7259,4.71625,0.483918
980521496,config.txt,base_truth,999,820,21.8902,18.978,0.597413
980521496,config.txt,base_strat,999,820,21.8902,18.978,0.597413
980521496,config.txt,da_truth,999,809,8.73795,5.8047,0.491958
980521496,config.txt,da_strat,999,806,8.55955,5.63275,0.489547
980521497,config.txt,base_truth,999,812,20.5567,17.6429,0.610408
980521497,config.txt,base_strat,999,812,20.5419,17.6281,0.610408
980521497,config.txt,da_truth,999,794,7.51889,4.57683,0.501677
980521497,config.txt,da_strat,999,789,7.13435,4.19645,0.499185
980521498,config.txt,base_truth,999,785,23.9389,21.0229,0.605402
980521498,config.txt,base_strat,999,783,23.834,20.9157,0.603491
980521498,config.txt,da_truth,999,778,9.12725,6.2018,0.496504
980521498,config.txt,da_strat,999,779,8.71117,5.77407,0.499824
980521499,config.txt,base_truth,999,827,20.5127,17.5514,0.606677
980521499,config.txt,base_strat,999,825,20.3515,17.3915,0.60618
980521499,config.txt,da_truth,999,795,7.20252,4.21006,0.496499
980521499,config.txt,da_strat,999,791,7.10872,4.10114,0.493879
980521500,config.txt,base_truth,999,749,26.251,23.2603,0.613623
980521500,config.txt,base_strat,999,749,26.251,23.2603,0.613623
980521500,config.txt,da_truth,999,755,8.29669,5.29272,0.493745
980521500,config.txt,da_strat,999,758,8.70317,5.70185,0.497143
980521501,config.txt,base_truth,999,728,27.0288,23.9973,0.631767
980521501,config.txt,base_strat,999,728,27.0288,23.9973,0.631767
980521501,config.txt,da_truth,999,733,7.82947,4.75716,0.498954
980521501,config.txt,da_strat,999,735,7.41088,4.35102,0.501403
980521502,config.txt,base_truth,999,726,26.2893,23.4201,0.604299
980521502,config.txt,base_strat,999,726,26.4325,23.5661,0.605165
980521502,config.txt,da_truth,999,729,8.40192,5.46091,0.489362
980521502,config.txt,da_strat,999,729,8.15775,5.22359,0.487629
980521503,config.txt,base_truth,999,810,24.279,21.3321,0.600284
980521503,config.txt,base_strat,999,802,24.1397,21.2007,0.599716
980521503,config.txt,da_truth,999,804,9.3408,6.3893,0.501891
980521503,config.txt,da_strat,999,801,8.95381,5.99251,0.500709
980521504,config.txt,base_truth,999,841,20.9548,17.9572,0.624069
980521504,config.txt,base_strat,999,842,20.6069,17.6069,0.624246
980521504,config.txt,da_truth,999,813,8.28782,5.30381,0.51033
980521504,config.txt,da_strat,999,816,8.48775,5.52083,0.508964
980521505,config.txt,base_truth,999,785,21.7796,18.7834,0.620869
980521505,config.txt,base_strat,999,785,21.735,18.735,0.620822
