seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
3779934560,config.txt,base_truth,999,797,24.2999,21.3476,0.600647
3779934560,config.txt,base_strat,999,770,26.1234,23.1455,0.585892
3779934560,config.txt,da_truth,999,776,8.61856,5.6701,0.496406
3779934560,config.txt,da_strat,999,760,10.2829,7.34605,0.504831
3779934561,config.txt,base_truth,999,752,25.0864,22.0891,0.608983
3779934561,config.txt,base_strat,999,733,25.0559,22.06,0.596596
3779934561,config.txt,da_truth,999,755,8.30728,5.27417,0.500804
3779934561,config.txt,da_strat,999,725,9.15034,6.11448,0.503404
3779934562,config.txt,base_truth,999,806,21.9876,18.9702,0.622329
3779934562,config.txt,base_strat,999,806,22.5422,19.5335,0.608602
3779934562,config.txt,da_truth,999,784,7.9898,4.90051,0.509174
3779934562,config.txt,da_strat,999,765,8.08627,5.02222,0.510867
3779934563,config.txt,base_truth,999,885,18.8927,15.8712,0.611146
3779934563,config.txt,base_strat,999,864,20.6817,17.6539,0.592975
3779934563,config.txt,da_truth,999,845,9.3645,6.30414,0.518066
3779934563,config.txt,da_strat,999,810,10.4099,7.37654,0.489404
3779934564,config.txt,base_truth,999,852,20.2946,17.2077,0.626071
3779934564,config.txt,base_strat,999,825,21.7697,18.6642,0.611887
3779934564,config.txt,da_truth,999,822,9.40146,6.3309,0.509855
3779934564,config.txt,da_strat,999,792,9.33712,6.21465,0.513553
3779934565,config.txt,base_truth,999,791,24.5171,21.6473,0.609235
3779934565,config.txt,base_strat,999,779,24.7433,21.8434,0.59753
3779934565,config.txt,da_truth,999,777,8.96268,6.01673,0.490899
3779934565,config.txt,da_strat,999,759,9.59947,6.66271,0.502306
3779934566,config.txt,base_truth,999,720,26.8542,23.8542,0.611702
3779934566,config.txt,base_strat,999,703,27.6785,24.6785,0.59696
3779934566,config.txt,da_truth,999,734,7.52589,4.58038,0.482776
3779934566,config.txt,da_strat,999,704,7.61648,4.61648,0.505927
3779934567,config.txt,base_truth,999,763,24.3617,21.3761,0.612872
3779934567,config.txt,base_strat,999,746,25.4759,22.4893,0.60028
3779934567,config.txt,da_truth,999,779,9.34917,6.41849,0.494138
3779934567,config.txt,da_strat,999,751,9.59787,6.66045,0.494765
3779934568,config.txt,base_truth,999,823,23.0583,20.1009,0.602612
3779934568,config.txt,base_strat,999,818,23.8533,20.9046,0.595924
3779934568,config.txt,da_truth,999,800,9.32875,6.38625,0.488015
3779934568,config.txt,da_strat,999,777,9.63707,6.66281,0.499192
3779934569,config.txt,base_truth,999,693,32.2612,29.3088,0.607734
3779934569,config.txt,base_strat,999,685,31.3737,28.4409,0.601036
3779934569,config.txt,da_truth,999,715,9.05455,6.04476,0.500563
3779934569,config.txt,da_strat,999,687,8.83843,5.85153,0.503996
3779934570,config.txt,base_truth,999,815,23.8748,20.9252,0.618477
3779934570,config.txt,base_strat,999,798,24.5414,21.5852,0.607675
3779934570,config.txt,da_truth,999,791,8.75221,5.82048,0.496266
3779934570,config.txt,da_strat,999,773,9.94567,6.99353,0.50101
3779934571,config.txt,base_truth,999,902,17.1475,14.2206,0.615037
3779934571,config.txt,base_strat,999,883,18.7203,15.7905,0.602288
3779934571,config.txt,da_truth,999,843,8.67497,5.76157,0.499831
3779934571,config.txt,da_strat,999,827,9.26602,6.3289,0.508781
3779934572,config.txt,base_truth,999,853,22.0434,19.0703,0.610741
3779934572,config.txt,base_strat,999,844,22.4289,19.468,0.59771
3779934572,config.txt,da_truth,999,817,8.83721,5.84578,0.494104
3779934572,config.txt,da_strat,999,791,9.49431,6.5158,0.488764
3779934573,config.txt,base_truth,999,787,24.2478,21.249,0.625216
3779934573,config.txt,base_strat,999,770,24.7039,21.7052,0.612661
3779934573,config.txt,da_truth,999,776,8.40077,5.36985,0.511884
3779934573,config.txt,da_strat,999,753,9.03586,6.0239,0.506996
3779934574,config.txt,base_truth,999,692,27.6127,24.5939,0.616008
3779934574,config.txt,base_strat,999,673,28.4339,25.422,0.596865
3779934574,config.txt,da_truth,999,720,8.41667,5.45972,0.487442
3779934574,config.txt,da_strat,999,694,9.40634,6.4366,0.501093
3779934575,config.txt,base_truth,999,825,23.0752,20.0642,0.613251
3779934575,config.txt,base_strat,999,799,24.1076,21.0976,0.599829
3779934575,config.txt,da_truth,999,799,8.99625,6.02253,0.499102
3779934575,config.txt,da_strat,999,780,9.9359,6.94872,0.50579
3779934576,config.txt,base_truth,999,819,21.0281,18.0342,0.612962
3779934576,config.txt,base_strat,999,811,21.5068,18.5105,0.599571
3779934576,config.txt,da_truth,999,810,8.44074,5.49012,0.501493
3779934576,config.txt,da_strat,999,773,8.22639,5.28202,0.485162
3779934577,config.txt,base_truth,999,881,17.9058,14.9762,0.608135
3779934577,config.txt,base_strat,999,872,18.4794,15.5401,0.591814
3779934577,config.txt,da_truth,999,839,8.31704,5.36114,0.485773
3779934577,config.txt,da_strat,999,824,9.10922,6.13471,0.492053
3779934578,config.txt,base_truth,999,789,24.6236,21.6464,0.612164
3779934578,config.txt,base_strat,999,770,25.9831,22.9896,0.597493
3779934578,config.txt,da_truth,999,774,8.39018,5.40827,0.493782
3779934578,config.txt,da_strat,999,741,9.29015,6.26856,0.493588
3779934579,config.txt,base_truth,999,823,22.0316,19.0279,0.620074
3779934579,config.txt,base_strat,999,803,22.3674,19.3724,0.605044
3779934579,config.txt,da_truth,999,798,9.16291,6.15664,0.493965
3779934579,config.txt,da_strat,999,778,9.12211,6.08483,0.507163
3779934580,config.txt,base_truth,999,921,18.1477,15.1379,0.625835
3779934580,config.txt,base_strat,999,895,19.2291,16.2179,0.612061
3779934580,config.txt,da_truth,999,864,9.72338,6.74884,0.504325
3779934580,config.txt,da_strat,999,841,11.7717,8.77527,0.505391
3779934581,config.txt,base_truth,999,750,25.0533,22.0587,0.607324
3779934581,config.txt,base_strat,999,743,26.7335,23.747,0.590003
