seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
303189704,config.txt,base_truth,999,730,28.7575,25.7466,0.613186
303189704,config.txt,base_strat,999,718,28.5738,25.5696,0.607407
303189704,config.txt,da_truth,999,732,8.9112,5.9194,0.479012
303189704,config.txt,da_strat,999,728,9.04808,6.08929,0.483005
303189705,config.txt,base_truth,999,824,20.4624,17.5206,0.612975
303189705,config.txt,base_strat,999,820,21.0463,18.1085,0.608073
303189705,config.txt,da_truth,999,796,8.79648,5.80528,0.505069
303189705,config.txt,da_strat,999,785,9.11465,6.15541,0.504784
303189706,config.txt,base_truth,999,789,23.4499,20.4398,0.613785
303189706,config.txt,base_strat,999,787,23.4485,20.4333,0.611833
303189706,config.txt,da_truth,999,789,8.03802,5.06337,0.498025
303189706,config.txt,da_strat,999,783,8.53768,5.55811,0.511638
303189707,config.txt,base_truth,999,681,31.558,28.5815,0.606001
303189707,config.txt,base_strat,999,697,30.7891,27.8034,0.606874
303189707,config.txt,da_truth,999,703,8.25178,5.26743,0.491653
303189707,config.txt,da_strat,999,699,9.5794,6.6681,0.483306
303189708,config.txt,base_truth,999,841,21.2782,18.3329,0.601437
303189708,config.txt,base_strat,999,832,20.8317,17.8846,0.596603
303189708,config.txt,da_truth,999,815,8.71166,5.73374,0.497131
303189708,config.txt,da_strat,999,806,8.40943,5.45037,0.494602
303189709,config.txt,base_truth,999,801,22.1461,19.0899,0.614843
303189709,config.txt,base_strat,999,799,22.0914,19.0413,0.610717
303189709,config.txt,da_truth,999,776,8.36985,5.29381,0.503407
303189709,config.txt,da_strat,999,765,8.34641,5.28497,0.503871
303189710,config.txt,base_truth,999,804,22.7512,19.7562,0.616255
303189710,config.txt,base_strat,999,794,23.0642,20.0693,0.611846
303189710,config.txt,da_truth,999,797,8.05395,5.07403,0.499808
303189710,config.txt,da_strat,999,791,8.12769,5.12642,0.507571
303189711,config.txt,base_truth,999,784,23.352,20.3023,0.622005
303189711,config.txt,base_strat,999,784,23.7589,20.7079,0.618842
303189711,config.txt,da_truth,999,764,8.07984,5.00393,0.497556
303189711,config.txt,da_strat,999,755,8.49272,5.40795,0.506948
303189712,config.txt,base_truth,999,772,25.1451,22.0777,0.620494
303189712,config.txt,base_strat,999,765,25.5673,22.5124,0.617706
303189712,config.txt,da_truth,999,745,8.02416,4.94765,0.492247
303189712,config.txt,da_strat,999,740,7.99324,4.93378,0.497285
303189713,config.txt,base_truth,999,827,21.6421,18.6288,0.604175
303189713,config.txt,base_strat,999,825,21.6424,18.6291,0.602569
303189713,config.txt,da_truth,999,812,8.98892,5.97783,0.499844
303189713,config.txt,da_strat,999,799,9.6408,6.63705,0.490477
303189714,config.txt,base_truth,999,816,20.6716,17.7328,0.606114
303189714,config.txt,base_strat,999,836,20.3816,17.4294,0.604139
303189714,config.txt,da_truth,999,802,8.15087,5.18329,0.493716
303189714,config.txt,da_strat,999,790,8.76835,5.79241,0.491292
303189715,config.txt,base_truth,999,812,21.6995,18.7069,0.61533
303189715,config.txt,base_strat,999,804,22.1654,19.1766,0.608802
303189715,config.txt,da_truth,999,801,8.17228,5.19476,0.498755
303189715,config.txt,da_strat,999,795,8.19874,5.22138,0.503452
303189716,config.txt,base_truth,999,894,17.7438,14.7181,0.623558
303189716,config.txt,base_strat,999,892,17.9002,14.8845,0.618004
303189716,config.txt,da_truth,999,849,7.07774,4.06949,0.508246
303189716,config.txt,da_strat,999,834,8.68106,5.66427,0.503204
303189717,config.txt,base_truth,999,841,22.7562,19.7669,0.617735
303189717,config.txt,base_strat,999,836,22.5574,19.5706,0.608234
303189717,config.txt,da_truth,999,817,8.8825,5.86047,0.516259
303189717,config.txt,da_strat,999,802,9.70823,6.67581,0.511129
303189718,config.txt,base_truth,999,808,24.2512,21.3045,0.604622
303189718,config.txt,base_strat,999,803,24.0311,21.0859,0.600629
303189718,config.txt,da_truth,999,783,10.5645,7.63985,0.483209
303189718,config.txt,da_strat,999,766,9.60052,6.65666,0.486591
303189719,config.txt,base_truth,999,849,19.8539,16.9529,0.602412
303189719,config.txt,base_strat,999,849,19.6019,16.6985,0.598675
303189719,config.txt,da_truth,999,818,7.86797,4.96088,0.493269
303189719,config.txt,da_strat,999,813,7.8278,4.89176,0.504141
303189720,config.txt,base_truth,999,807,22.7695,19.7794,0.618654
303189720,config.txt,base_strat,999,807,23.1053,20.1152,0.615015
303189720,config.txt,da_truth,999,770,8.52468,5.53247,0.493234
303189720,config.txt,da_strat,999,763,8.94889,5.95937,0.497994
303189721,config.txt,base_truth,999,881,19.6504,16.6742,0.620966
303189721,config.txt,base_strat,999,869,19.7238,16.7514,0.614168
303189721,config.txt,da_truth,999,832,8.61779,5.65144,0.504595
303189721,config.txt,da_strat,999,822,9.20803,6.24939,0.501574
303189722,config.txt,base_truth,999,849,20.5713,17.5654,0.624823
303189722,config.txt,base_strat,999,840,21.156,18.156,0.618839
303189722,config.txt,da_truth,999,806,8.24814,5.26303,0.500887
303189722,config.txt,da_strat,999,797,8.20075,5.2271,0.49672
303189723,config.txt,base_truth,999,824,22.5995,19.5485,0.61693
303189723,config.txt,base_strat,999,821,22.6711,19.6382,0.613269
303189723,config.txt,da_truth,999,795,8.74214,5.70818,0.506291
303189723,config.txt,da_strat,999,776,8.68428,5.65851,0.50199
303189724,config.txt,base_truth,999,741,27.5655,24.5115,0.612796
303189724,config.txt,base_strat,999,740,27.2554,24.1959,0.613048
303189724,config.txt,da_truth,999,748,9.73128,6.67246,0.49741
303189724,config.txt,da_strat,999,748,9.69251,6.63904,0.516976
303189725,config.txt,base_truth,999,771,24,20.9676,0.619868
303189725,config.txt,base_strat,999,767,23.6571,20.6245,0.613775
303189725,config.txt,da_truth,999,773,9.2251,6.18111,0.50954
303189725,config.txt,da_strat,999,759,9.92227,6.89196,0.507741
303189726,config.txt,base_truth,999,800,24.6275,21.6275,0.615295
303189726,config.txt,base_strat,999,796,24.9435,21.9372,0.613195
303189726,config.txt,da_truth,999,797,9.52698,6.54831,0.49972
303189726,config.txt,da_strat,999,789,9.48416,6.51711,0.499207
303189727,config.txt,base_truth,999,819,22.1026,19.0928,0.619716
303189727,config.txt,base_strat,999,816,22.076,19.0711,0.616217
