seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
410387167,config.txt,base_truth,999,818,24.0709,20.9645,0.619641
410387167,config.txt,base_strat,999,818,24.0709,20.9645,0.619641
410387167,config.txt,da_truth,999,797,9.44166,6.34379,0.50707
410387167,config.txt,da_strat,999,800,9.81,6.71625,0.50856
410387168,config.txt,base_truth,999,808,23.9715,20.9282,0.618783
410387168,config.txt,base_strat,999,808,23.9715,20.9282,0.618783
410387168,config.txt,da_truth,999,796,8.95352,5.88191,0.513651
410387168,config.txt,da_strat,999,799,8.84731,5.76345,0.519214
410387169,config.txt,base_truth,999,789,22.2763,19.2471,0.619947
410387169,config.txt,base_strat,999,789,22.2763,19.2471,0.619947
410387169,config.txt,da_truth,999,774,8.37468,5.38243,0.498041
410387169,config.txt,da_strat,999,776,8.3299,5.35052,0.498041
410387170,config.txt,base_truth,999,804,22.3794,19.3943,0.614988
410387170,config.txt,base_strat,999,804,22.3794,19.3943,0.614988
410387170,config.txt,da_truth,999,797,8.45797,5.46801,0.501418
410387170,config.txt,da_strat,999,797,8.41907,5.42284,0.501844
410387171,config.txt,base_truth,999,768,24.8333,21.8411,0.609215
410387171,config.txt,base_strat,999,768,24.8333,21.8411,0.609215
410387171,config.txt,da_truth,999,753,7.93227,4.96149,0.485792
410387171,config.txt,da_strat,999,752,7.5492,4.56915,0.490361
410387172,config.txt,base_truth,999,878,18.0171,14.9943,0.617709
410387172,config.txt,base_strat,999,878,18.0171,14.9943,0.617709
410387172,config.txt,da_truth,999,834,8.03717,4.97842,0.510337
410387172,config.txt,da_strat,999,832,8.08894,5.03125,0.507629
410387173,config.txt,base_truth,999,842,20.5285,17.5297,0.611579
410387173,config.txt,base_strat,999,842,20.5285,17.5297,0.611579
410387173,config.txt,da_truth,999,805,7.36894,4.38261,0.490165
410387173,config.txt,da_strat,999,804,7.35821,4.36692,0.490566
410387174,config.txt,base_truth,999,790,20.9608,18,0.602192
410387174,config.txt,base_strat,999,790,20.9608,18,0.602192
410387174,config.txt,da_truth,999,797,7.96487,5.03137,0.494888
410387174,config.txt,da_strat,999,796,8.00879,5.07538,0.493645
410387175,config.txt,base_truth,999,860,18.5337,15.5593,0.616449
410387175,config.txt,base_strat,999,860,18.5337,15.5593,0.616449
410387175,config.txt,da_truth,999,815,8.64417,5.65521,0.488921
410387175,config.txt,da_strat,999,815,8.78282,5.79018,0.494868
410387176,config.txt,base_truth,999,750,24.6107,21.6227,0.611837
410387176,config.txt,base_strat,999,750,24.6107,21.6227,0.611837
410387176,config.txt,da_truth,999,752,8.07447,5.04388,0.498899
410387176,config.txt,da_strat,999,753,7.82603,4.79681,0.505943
410387177,config.txt,base_truth,999,743,24.646,21.7187,0.607332
410387177,config.txt,base_strat,999,743,24.646,21.7187,0.607332
410387177,config.txt,da_truth,999,723,7.81466,4.79806,0.504545
410387177,config.txt,da_strat,999,722,8.41551,5.38227,0.509739
410387178,config.txt,base_truth,999,787,23.6696,20.6061,0.617885
410387178,config.txt,base_strat,999,787,23.6696,20.6061,0.617885
410387178,config.txt,da_truth,999,791,9.19216,6.17573,0.497909
410387178,config.txt,da_strat,999,788,9.07614,6.06218,0.496681
410387179,config.txt,base_truth,999,799,24.2691,21.3317,0.605201
410387179,config.txt,base_strat,999,799,24.2691,21.3317,0.605201
410387179,config.txt,da_truth,999,800,9.94125,7.04,0.499091
410387179,config.txt,da_strat,999,801,9.73533,6.82772,0.499091
410387180,config.txt,base_truth,999,682,31.6085,28.5909,0.614368
410387180,config.txt,base_strat,999,682,31.6085,28.5909,0.614368
410387180,config.txt,da_truth,999,711,9.9128,6.86779,0.490282
410387180,config.txt,da_strat,999,712,9.53511,6.48315,0.493747
410387181,config.txt,base_truth,999,823,23.2029,20.1944,0.623546
410387181,config.txt,base_strat,999,823,23.2029,20.1944,0.623546
410387181,config.txt,da_truth,999,804,8.2102,5.20771,0.504775
410387181,config.txt,da_strat,999,800,8.19,5.18125,0.502506
410387182,config.txt,base_truth,999,864,18.2998,15.3241,0.613432
410387182,config.txt,base_strat,999,864,18.2998,15.3241,0.613432
410387182,config.txt,da_truth,999,828,7.90821,4.92029,0.508118
410387182,config.txt,da_strat,999,824,7.59951,4.6068,0.50658
410387183,config.txt,base_truth,999,780,23.3167,20.4256,0.606118
